S.No,Tweet,Points,Sentiment
1,ciii depiiiii   Apaan cii cie2  Haha  Ci pon dah di bandung tuh cii echa ditinggal lg    I want dessert    When I feel like something s wrong            Wide awake  Should not of had an early night     ,0,Neutral
2,I m bout to crash    better hurry I have a bad habit of falling asleep very early at night    What s taking him so long    ,2,Positive
3,I really wish I can be there       Have fun    My favorite part about Holidays is catching up with old friends and family  Since I work three jobs I will be spending this Holiday alone    ,1,Positive
4,wala pa nko ndawat     Bumped from row 4 to row 8     Duhon wearing Cooper s  21         ,-1,Negative
5,whyyy    ,0,Neutral
6,Thanks    ,0,Neutral
7,que ,0,Neutral
8,este aquí y venga conmigo a la fiesta de pulga como antes y así    te extraño ,0,Neutral
9,jajajajajajaja esque hay unos celulares que venden ahi pero no se pueden comprar en mexico     ,0,Neutral
10,you have to redue my hair girl     chocolate brown   ,0,Neutral
11,Oh Lisa I am so so sorry  I just read this tweet and just felt like crying  Hurting for you    I miss ,0,Neutral
12,   Separation from everyone is sad     plymouthstate  wannagoback  basketball ,-1,Negative
13,I know right  Still can t wait to see you  We only see each other twice a year    Our baby needs a little tune up     ,-1,Negative
14,Apple Store  http   4sq com UHCGkw sama    RT ,0,Neutral
15,Hallo nitaa kangeen    RT ,0,Neutral
16,mereka tidak muncul  ,0,Neutral
17,no no no no oh no  No     Someone come over and have a HIMYM marathon with me    ,0,Neutral
18,talk is cheap     Kok single sih kmuuu  ,-1,Negative
19,Aku single   ,0,Neutral
20,Aiiiih co cweet km kan udh ada yg punya      ,0,Neutral
21,Belahan jiw I just really wanna learn to play the piano   ,2,Positive
22,i don t think you love me anymore      ,0,Neutral
23,aweeeeee    ,0,Neutral
24,I have not got one yet I suck at screen shooting    Just got this random headache and I don t even know why    ,0,Neutral
25,it feels like it sigh    havnt had it in a wileee        Lanie didn t even tell me she was coming to Marshall for thanksgiving break   Ovb she didn t wanna see me    ,1,Positive
26,okays sorry lesbo    what happened    Why is everyone so mean to Luke    Missed thunder tonight    mamak    ,-3,Negative
27,Mi mama se sordera    ,0,Neutral
28,   I was watching his lil sis hoop today she play with my sis my throat hurts    Me and Ross missed karokee    ,-1,Negative
29,   happens to all of us me vick now u  aku couple  jgn harap lerr sapa lah nak kat aku yg gemuk gila kaw kaw nie    btw jodoh tak ada  aku masih kecik lagi doll  i want a iphone so badd      wthecck ,1,Positive
30,eu peguei raivinha da carly ela é muito egocentrica amo fifth harmony  3 mas tava torcendo pela jennel        ,0,Neutral
31,oh gosh trevor  my bad  autocorrect     huiskkk   sakit perot la pla abis mkn nie    adohhhh           Headache     ,-1,Negative
32,Gotta wake up at 3 00 am     DAMN Thats O dee   ,0,Neutral
33,   Kok kram perut gini jadinya siiih    Ga biasanya d hri pertama         She still offline    ,-1,Negative
34,Hmm bestnyaa  Kalau lah dpt join  Hmm    Siapa je yg pergi  ,0,Neutral
35,in tally    wbu لقيتهم متورطين ، خربان الباب         ,0,Neutral
36,بوكتشينو كافي Bookccino Cafe  http   4sq com US9fMX ,0,Neutral
37,lol aye ,0,Neutral
38,was gettin it in sucks he wont be attending the bash tho    My eye is swelling     stupidbunny  ouch http   p twimg com A8MkXVcCMAAVTZ4 jpg Tasha tak rindu     hahaha RT  ,1,Positive
39,rindu dayat     ,0,Neutral
40,   awwe dat stinks  Better luck on your next batch   hala  kecik taknak pegy mantin  hmmmm  kecik nie daa janjy  baru nak cubit        ,1,Positive
41,quedaron cuando tenía cel y todo era risas y diversión    ,0,Neutral
42,it is  But I say there and cried and cried     I loved it  But it s just soo sad       just laugh        ,1,Positive
43,Hehehe  p  Sucks being home by yourself    Next week workout       My head hurts     Tu lo vas a olvidar el yo te voy a olvidar a ti    Someone from Surrey see me this week    ,-1,Negative
44,não    I wear my emotions on my sleeve   im most likely bipolar  Everything I feel I say   my mood is comparable to a rollercoaster  Its just me    ,2,Positive
45,Que droga    ,0,Neutral
46,lmfaoo od    ,0,Neutral
47,   What happened now  Berharap bgt sama kamu dek maaf frontal     ,0,Neutral
48,stay on campus je     aku pening muntah2  Pregnant kot ,0,Neutral
49,long time no talk    ,1,Positive
50,it was actually ages ago though I haven t got close since    Think it was just one off luck     Pertahankan aku sayang   ,1,Positive
51,   its sad right   ,0,Neutral
52,maybe  I have a physical at 2    “,-1,Negative
53,It was great to see my friend ,1,Positive
54,at the taping of The Better Half http   p twimg com A8MHTT5CAAE78KR jpg” WTF is with the cast      Nothing much i can do accept do a for them     prayforgaza ,2,Positive
55,GazaPalestin http   instagr am p SRv5tQHZ48  ,0,Neutral
56,mais olha eu é que não falo mais né amigo  cê nen olha mais na minha cala     MentionATrueFriend Baby Dahlia  Terima kasih kerana benarkan aku petik kau tiap hari untuk menemani aku di kala sunyi      ,0,Neutral
57,Im Sick Big Homie     Imy ,-1,Negative
58,I did not no about this hahah   But I can t my moms picking me up to pack for Chicago after school          ,-1,Negative
59,hahaha oh well    But why on that night we fight just because a small problem     my bad ,0,Neutral
60,Meeeeep  I won t be coming home    Sick    ,-1,Negative
61,yh I know    you in school now  ,0,Neutral
62,uhm ,0,Neutral
63,still hasn t DM d me and I ve done what he asks everytime    Christmas please come early    I need you now i need happiness                 ,-1,Negative
64,como sea se nos cebó el viaje    I have to stay off twitter for a while    I wanna go to keyana house     ,0,Neutral
65,       fmlfrowneyface ,0,Neutral
66,I wanna visit you while I m home       I miss it so bad Who can make me smile and forget all about last night  What   No one  Hmmm oke fine          Missing the surgery rotation     OMY to hospital in middle of nowhere Bu bye CT     ,-1,Negative
67,City Tavern w  2 others  http   4sq com US9kAi ,0,Neutral
68,oh no  Drama is everywhere tonight      but good attitude      I have to work at 5 tomorrow    ,3,Positive
69,why  What happened    “,0,Neutral
70,I love jealous tweets and my jealous gf” I m sorry I get jealous    Gagal renang    ,2,Positive
71,you ok    I was skinny in ninth and ning of tenth grade  I just want to go back     determined ,2,Positive
72,   พี่กลองทำออมเฟลลล ทำออมจะร้องไห้   ,0,Neutral
73,ill be back soon    i neeeed to go to the gym so save me some of ur motivation  xxx ,0,Neutral
74,sorry    Don t feel well booooo    ah aku tak melihat    RT ,0,Neutral
75,Ahahha ivan seventeen lagunya d koploindia joged asiik bnr  tvri  colek arlinalline ,0,Neutral
76,oh no that s so sad    don t worry they ll get theirs whoever they are  Karma s a bitch  Tunji        ,0,Neutral
77,   I miss you    I m honestly the last person still at school    All of my friends have gone home    pacote de Bis pedindo para ser devorado    I never do those  mention someone  trends because no one mentions me    Jam 1 kuliahku   klian dmna  RT ,-2,Negative
78,   jd kpan kt bsa nnton breng  nda ngampus kt lg sm  cont  http   tl gd k31srr Dying of sleep at work    So I spent this and last week watching all the Harry potters and now I m gutted all over again that it s ended     HarryPotter  TheBest  Uni Sakit   RT ,3,Positive
79,kenapa ka  RT DhiaanNovietha  Udh lemes duluan ngelihat itu ronsen     I miss my Lit friend Homie ,0,Neutral
80,Also    I misss my favorite cousin    ,0,Neutral
81,   Why are you doing this to me       imdone  crying  nighteveryone  worstweekever ,-1,Negative
82,   ill pray you find it miss just relax retrace your steps when you last had it look places where ud least expect it good luck  Dicen que Macho Camacho fue ASesinado    http   p twimg com A8MlNCGCMAAh 3B jpg ,1,Positive
83,Lol      xreti lha nk guna     I miss you      I m so sleepy      Anyone wants a part time job at DP      lack of staff   wow    Dudum bersih dinding pastu ada bhg dinding yg hancyr tu makin hancur  Mama i need help     ,-1,Negative
84,I feel your pain guys    my mom made potato salad but I m too full to eat it hahaha ,-1,Negative
85,   It will soon kill U̶̲̥̅̊   Just wait ,1,Positive
86,My shyness we nor kee me     The YG e shop all Korean  Wtf        Penin kepala yang belum reda    ,1,Positive
87,i been sick nd Really     Ughh i missed alot than  but anyways i missed you    nd i didnt get to say happy turkey day lol Doesn t feel like thanksgiving break when I m too sad to even leave my house   Missing my boyfriend like crazy     Now a days I often recall my first memories    http   myloc me qYCAl I miss my bestfriend   I feel like ive lost her Susahnya hidup kalau selalu diperbodohkan    Dan aku ingin mengatakan nya pada orang tua ku     cc   ,1,Positive
88,Guess I just wrap my hair        ALIBI    tuisyen   Our song    3    Phone is going crazy here   It s vibrating every 2 seconds turning itself on and off silent  iphoneisdying   ,2,Positive
89,come cuddle with me     ,0,Neutral
90,nossa muito muitissimo bom mesmo de longe a melhor de todas mas hero nao ficou mt atras tbm   mas ainda sou  teamjennel    ,0,Neutral
91,ayyy   jajajajajaja a mi todavia me gustan jajaja ,0,Neutral
92,yes    ,0,Neutral
93,aku masuk malem de    had alot of fun tonight     gonnamissher   Makan makanan yang sama untuk 3 tahun     Mi novio me dejo morir     jujuj    rip trooper    ,-1,Negative
94,kd boleeh  p minta lwn rose quotes ja  p bosan nah ka    ,0,Neutral
95,CONTÉSTAME    ,0,Neutral
96,Wishing someone would come over tomorrow      That shitty moment when your phone is about to die but you wont be able to charge it for hours     ,0,Neutral
97,กูกลัวไม่ติด กูหวังมากอ่ะมึง กูไม่อยากเรียนนิติ กูถูกตัดสิทธิ์แอดมิดชั่น กูอยากเรียนบริหาร กูเครียดไปหมดเลย    That s the only ready j hate lace undies because they rip too easily    ,0,Neutral
98,fuck   ik how you feel tho lol ,0,Neutral
99,sore throat headache    tummy ache    Pas dengar lagunya leavingonajetplane jadi kangen kamu    haha ไม่ตอบแล้ว เฟลล   ,-2,Negative
100,I wrote Chris but he hasn t wrote me back  But from the looks of it  I think we do     ,0,Neutral
101,no fun     Apaan himdamsyik   O kata chairul belum bisa plg dulu la     ,-1,Negative
102,bentar lagi pa himdamsyik pasti kluar da    RT ,0,Neutral
103,I see now    imma sell your ratchet ass car k bye    Iyaaa RT    ,-1,Negative
104,Ma anak MERDA    RT ekoaristiawan  Ada masalah dikit gitu deh    RT ,0,Neutral
105,Kenapa aa    I wish I had a date to go ice skating with    ,0,Neutral
106,  دعوتك علي بالشطوب احد كلماتك المنمقه ؟       شوّي انسانيه ارجوك ، ماودي اقول جعلتس روماتيزم يسمعون طقطقه ركبتس اللي في عرعر ð I have to go to the dentist tomorrow    ,0,Neutral
107,and ,0,Neutral
108,are tearing me apart right now   ,2,Positive
109,aqib ingatkan nak pergi tawaf cm  tapi takde org nak teman    menunda waktu   Kangen nicc    RT ,0,Neutral
110,Long time no see      ,1,Positive
111,Enggaaaa RT ,0,Neutral
112,Knp qaqa  RT ,0,Neutral
113,EHEM   Love getting ignored    Allbymyself ,-1,Negative
114,noooo    do you need a hug  cause  hugs  MYOB     ,0,Neutral
115,Challenger Institute of Technology  http   4sq com UhRxUM ,0,Neutral
116,Popeyes    I wish I had some   I have been trying to cross my eyes for like 10 minutes   I can t do it      Up   the only pixar movie that can make you cry in the first 5 minutes       sosad  loveit  sweet  up ,2,Positive
117,sikpat    sikda org hantar And tonight SiriusXM is playing the full cast recording of The Drowsy Chaperone    Ugh I wish I could listen in my house        Ya Allah sedihnya    ,0,Neutral
118,   Maan Wish I could a been there  But the Yall went all out im guess What about the girls   gpp ya   sedikit   sebentar da beli oleh2 nya   RT ,1,Positive
119,Yah kehabisan    hehe “,0,Neutral
120,ou iya maya belum kebagian ya   tapi I dont feel good    nothingnew My head is pounding    ,1,Positive
121,darn  I tried     Kok      ,1,Positive
122,kalau takde alif  saya kuar dua org je lah   tak best lah      esok saya kuar jugak     My house is so quiet  And my bed is empty      I miss my babies already  sometimes when i wanna cry i just close my eyes     ,2,Positive
